,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
36436,2013-07-01,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,,,650000.0,USD,650000.0,,3.0,,http://www.properati.com.ar/85if_venta_departamento_belgrano
36437,2013-07-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,,,85000.0,USD,85000.0,,2.0,,http://www.properati.com.ar/85ig_venta_departamento_palermo
36438,2013-07-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.584075,-58.425408999999995,98000.0,USD,98000.0,47.0,2.0,$ 600     ,http://www.properati.com.ar/85ih_venta_departamento_palermo_thames_2200
36439,2013-07-01,apartment,San Isidro,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,,,120000.0,USD,120000.0,,2.0,,http://www.properati.com.ar/85ik_venta_departamento_san-isidro
36440,2013-07-01,apartment,Martínez,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,,,110000.0,USD,110000.0,,2.0,,http://www.properati.com.ar/85im_venta_departamento_martinez
36441,2013-07-01,house,Beccar,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,,,320000.0,USD,320000.0,,0.0,,http://www.properati.com.ar/85iv_venta_casa_beccar
36442,2013-07-01,house,San Isidro,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,,,720000.0,USD,720000.0,,0.0,,http://www.properati.com.ar/85iw_venta_casa_san-isidro
36443,2013-07-01,house,Chauvín,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Chauvín|,-38.02043,-57.560931999999994,330000.0,USD,330000.0,468.0,5.0,,http://www.properati.com.ar/85j8_venta_casa_chauvin
36444,2013-07-01,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,-34.425666,-58.903835,190000.0,USD,190000.0,,5.0,,http://www.properati.com.ar/85ja_venta_casa_pilar
36445,2013-07-01,apartment,Balvanera,|Argentina|Capital Federal|Balvanera|,-34.617081,-58.404125,56900.0,USD,56900.0,30.0,2.0,,http://www.properati.com.ar/85jb_venta_departamento_balvanera
36446,2013-07-01,apartment,Capital Federal,|Argentina|Capital Federal|,-34.613741,-58.37324399999999,670000.0,ARS,125280.61,,2.0,,http://www.properati.com.ar/85jd_venta_departamento_capital-federal
36447,2013-07-01,house,Stella Maris,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Stella Maris|,-38.014939,-57.536451,,,,755.0,5.0,,http://www.properati.com.ar/85je_alquiler_oficina-consultorio_balvanera
36448,2013-07-01,apartment,Balvanera,|Argentina|Capital Federal|Balvanera|,-34.6105,-58.3976,44000.0,USD,44000.0,55.0,3.0,,http://www.properati.com.ar/85jf_venta_departamento_balvanera
36449,2013-07-01,apartment,Congreso,|Argentina|Capital Federal|Congreso|,-34.609763,-58.392182999999996,58500.0,USD,58500.0,26.0,1.0,,http://www.properati.com.ar/85jg_venta_departamento_congreso
36450,2013-07-01,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.579107,-58.459516,160000.0,USD,160000.0,,3.0,,http://www.properati.com.ar/85jh_venta_departamento_colegiales
36451,2013-07-01,apartment,Martínez,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,-34.509073,-58.534263,105000.0,USD,105000.0,65.0,3.0,,http://www.properati.com.ar/85jj_venta_departamento_martinez
36452,2013-07-01,apartment,Tigre,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,-34.44185,-58.586104000000006,90000.0,USD,90000.0,60.0,3.0,,http://www.properati.com.ar/85jk_venta_departamento_tigre
36453,2013-07-01,house,Pilar,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,-34.425658,-58.903819999999996,190000.0,USD,190000.0,,4.0,,http://www.properati.com.ar/85jl_venta_casa_pilar
