,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
27983,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,430000.0,1390.0,,
27984,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Del Viso|,390000.0,1213.0,,
27985,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,360000.0,619.0,,
27986,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Rincón de Milberg|,310000.0,320.0,,
27987,2016-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,120000.0,45.0,1.0,
27988,2016-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,128000.0,57.0,,
27989,2016-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,165000.0,72.0,3.0,
27990,2016-12-01,house,|Argentina|Capital Federal|,590000.0,607.0,,
27991,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,430000.0,400.0,,
27992,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,450000.0,400.0,,
27993,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Ingeniero Pablo Nogués|,520000.0,720.0,,
27994,2016-12-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,157000.0,62.0,,
27995,2016-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,600000.0,180.0,3.0,
27996,2016-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,630000.0,876.0,,
27997,2016-12-01,house,|Argentina|Capital Federal|,730000.0,738.0,,
27998,2016-12-01,house,|Argentina|Capital Federal|,730000.0,738.0,,
27999,2016-12-01,store,|Argentina|Capital Federal|,730000.0,738.0,,
28000,2016-12-01,house,|Argentina|Capital Federal|,730000.0,738.0,,
28003,2016-12-01,apartment,|Argentina|Capital Federal|Liniers|,115000.0,120.0,,
28005,2016-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|Wilde|,100000.0,30.0,,
