,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
55864,2017-05-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,700000.0,309.0,,9.0
55865,2017-05-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,160000.0,136.0,,5.0
55866,2017-05-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,215000.0,95.0,,3.0
55867,2017-05-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,315000.0,115.0,,3.0
55885,2017-05-01,house,|Argentina|Buenos Aires Interior|General Paz|Villanueva|,268000.0,220.0,,4.0
55886,2017-05-01,house,|Argentina|Buenos Aires Interior|General Paz|Villanueva|,355000.0,260.0,,4.0
55979,2017-05-01,house,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,298000.0,922.0,,6.0
55980,2017-05-01,house,|Argentina|Santa Fe|Recreo|,74929.75,420.0,,2.0
55981,2017-05-01,house,|Argentina|Misiones|Posadas|,94485.21,300.0,,
55982,2017-05-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,85000.0,600.0,,3.0
55983,2017-05-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,82000.0,55.0,,2.0
55985,2017-05-01,apartment,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,219000.0,76.0,,4.0
55988,2017-05-01,apartment,|Argentina|Capital Federal|Recoleta|,365000.0,107.0,,4.0
55989,2017-05-01,apartment,|Argentina|Capital Federal|Almagro|,95000.0,45.0,,2.0
55990,2017-05-01,apartment,|Argentina|Capital Federal|Villa Crespo|,257000.0,161.0,,3.0
55991,2017-05-01,apartment,|Argentina|Capital Federal|Abasto|,199900.0,86.0,,4.0
55992,2017-05-01,house,|Argentina|Capital Federal|Almagro|,340000.0,171.0,,
55993,2017-05-01,apartment,|Argentina|Capital Federal|Parque Chacabuco|,128000.0,110.0,,3.0
55994,2017-05-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|Sarandi|,192000.0,380.0,,
55995,2017-05-01,apartment,|Argentina|Capital Federal|Recoleta|,325000.0,111.0,,3.0
55996,2017-05-01,apartment,|Argentina|Capital Federal|Boca|,92900.0,65.0,,3.0
55997,2017-05-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Loma Verde|,220000.0,2300.0,,
55998,2017-05-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,175000.0,458.0,,
