,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
36438,2013-07-01,apartment,|Argentina|Capital Federal|Palermo|,98000.0,47.0,1.0,2.0
36443,2013-07-01,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Chauvín|,330000.0,468.0,,5.0
36445,2013-07-01,apartment,|Argentina|Capital Federal|Balvanera|,56900.0,30.0,,2.0
36448,2013-07-01,apartment,|Argentina|Capital Federal|Balvanera|,44000.0,55.0,,3.0
36449,2013-07-01,apartment,|Argentina|Capital Federal|Congreso|,58500.0,26.0,,1.0
36451,2013-07-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,105000.0,65.0,,3.0
36452,2013-07-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,90000.0,60.0,,3.0
36454,2013-07-01,PH,|Argentina|Capital Federal|Balvanera|,80000.0,65.0,,3.0
36455,2013-07-01,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Bosque Alegre|,125000.0,260.0,,4.0
36457,2013-07-01,apartment,|Argentina|Capital Federal|Palermo|Palermo Chico|,91800.0,38.0,,1.0
36458,2013-07-01,apartment,|Argentina|Capital Federal|Belgrano|,139000.0,75.0,,2.0
36459,2013-07-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,51000.0,30.0,,1.0
36461,2013-07-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,280000.0,300.0,,3.0
36462,2013-07-01,apartment,|Argentina|Capital Federal|Las Cañitas|,192000.0,40.0,,2.0
36464,2013-07-01,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,80000.0,36.0,,
36465,2013-07-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,72924.53,32.0,,1.0
36466,2013-07-01,apartment,|Argentina|Capital Federal|Las Cañitas|,329000.0,72.0,,3.0
36468,2013-07-01,apartment,|Argentina|Capital Federal|Parque Centenario|,123000.0,57.0,,3.0
36469,2013-07-01,apartment,|Argentina|Capital Federal|Parque Centenario|,82000.0,34.0,,1.0
36470,2013-07-01,apartment,|Argentina|Capital Federal|Parque Centenario|,138000.0,57.0,,3.0
36471,2013-07-01,apartment,|Argentina|Capital Federal|Parque Centenario|,82000.0,34.0,,1.0
