,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
54182,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Monte Grande|,400000.0,315.0,,
54186,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,95000.0,408.0,,
54189,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,140000.0,370.0,,
54191,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,150000.0,236.0,,
54193,2014-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,73000.0,80.0,,
54194,2014-09-01,apartment,|Argentina|Santa Fe|Rosario|,27365.96,319.0,,
54195,2014-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|La Tablada|,53558.67,65.0,,
54196,2014-09-01,apartment,|Argentina|Capital Federal|Nuñez|,90000.0,48.0,,
54210,2014-09-01,house,|Argentina|Capital Federal|Almagro|,395000.0,350.0,,6.0
54211,2014-09-01,apartment,|Argentina|Capital Federal|San Nicolás|,120000.0,67.0,,2.0
54213,2014-09-01,apartment,|Argentina|Capital Federal|Retiro|,650000.0,142.0,,6.0
54214,2014-09-01,apartment,|Argentina|Capital Federal|Recoleta|,149000.0,62.0,,3.0
54215,2014-09-01,store,|Argentina|Capital Federal|San Nicolás|,88000.0,41.0,,1.0
54218,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,300000.0,900.0,,
54219,2014-09-01,PH,|Argentina|Capital Federal|Constitución|,48000.0,32.0,,
54220,2014-09-01,PH,|Argentina|Capital Federal|Parque Patricios|,48000.0,32.0,,
54221,2014-09-01,apartment,|Argentina|Capital Federal|Barrio Norte|,135000.0,70.0,,
54223,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,105000.0,250.0,,
54232,2014-09-01,apartment,|Argentina|Capital Federal|Palermo|,99500.0,39.0,9.0,
54233,2014-09-01,PH,|Argentina|Capital Federal|Barracas|,70000.0,47.0,,3.0
54234,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Zelaya|,150000.0,1000.0,,
54236,2014-09-01,apartment,|Argentina|Capital Federal|Belgrano|,95300.0,35.0,,
54237,2014-09-01,apartment,|Argentina|Capital Federal|Recoleta|,240000.0,107.0,,
54238,2014-09-01,apartment,|Argentina|Capital Federal|Belgrano|,143700.0,50.0,,
54239,2014-09-01,apartment,|Argentina|Capital Federal|Parque Patricios|,59000.0,46.0,,
54240,2014-09-01,apartment,|Argentina|Capital Federal|San Cristobal|,59000.0,46.0,,
54241,2014-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,145000.0,120.0,,
54242,2014-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,240000.0,92.0,,
54244,2014-09-01,house,|Argentina|Salta|Cafayate|,665000.0,1122.0,,5.0
54407,2014-09-01,apartment,|Argentina|Capital Federal|Belgrano|,165900.0,61.0,,
54408,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,58000.0,200.0,,
54409,2014-09-01,apartment,|Argentina|Capital Federal|Belgrano|,167900.0,57.0,,
54411,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|El Palomar|,135000.0,300.0,,
54413,2014-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,95000.0,261.0,,2.0
54415,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,80000.0,360.0,,1.0
54417,2014-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,80000.0,48.0,,
54419,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,800000.0,200.0,,3.0
54421,2014-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,76000.0,65.0,,2.0
54422,2014-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,65000.0,40.0,,1.0
