,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
47301,2013-08-01,apartment,|Argentina|Capital Federal|,130896.0,88.0,1.0,2.0
47302,2013-08-01,house,|Argentina|Buenos Aires Interior|Campana|,205000.0,20.0,,2.0
47306,2013-08-02,house,|Argentina|Bs.As. G.B.A. Zona Sur|Berazategui|Berazategui|,800000.0,476.0,,5.0
47307,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,70300.0,46.0,2.0,1.0
47308,2013-08-02,apartment,|Argentina|Capital Federal|Recoleta|,600000.0,196.0,,3.0
47309,2013-08-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,1100000.0,415.0,,5.0
47311,2013-08-02,apartment,|Argentina|Capital Federal|Barrio Norte|,445000.0,153.0,,2.0
47312,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,80800.0,46.0,13.0,1.0
47313,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,80000.0,46.0,12.0,1.0
47314,2013-08-02,apartment,|Argentina|Capital Federal|Puerto Madero|,178000.0,65.0,11.0,2.0
47315,2013-08-02,apartment,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,135000.0,55.0,4.0,2.0
47316,2013-08-02,apartment,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,267000.0,106.0,,3.0
47317,2013-08-02,apartment,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,158000.0,74.0,,2.0
47318,2013-08-02,apartment,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,102000.0,44.0,1.0,1.0
47319,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,79300.0,46.0,11.0,1.0
47320,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,78450.0,46.0,10.0,1.0
47321,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,77650.0,46.0,9.0,1.0
47322,2013-08-02,apartment,|Argentina|Capital Federal|Belgrano|,179500.0,96.0,5.0,3.0
47323,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,76900.0,46.0,8.0,1.0
47324,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,76150.0,46.0,7.0,1.0
47325,2013-08-02,apartment,|Argentina|Capital Federal|San Cristobal|,75350.0,46.0,6.0,1.0
