,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
52070,2013-10-01,apartment,|Argentina|Capital Federal|Villa Real|,97000.0,60.0,,2.0
52071,2013-10-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,95000.0,90.0,,2.0
52074,2013-10-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,50000.0,50.0,4.0,2.0
52075,2013-10-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,50000.0,56.0,5.0,2.0
52076,2013-10-01,apartment,|Argentina|Capital Federal|Parque Patricios|,102206.03,38.0,7.0,
52077,2013-10-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,370000.0,270.0,,3.0
52078,2013-10-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,76500.0,67.0,,
52080,2013-10-01,apartment,|Argentina|Capital Federal|Belgrano|,480000.0,170.0,8.0,3.0
52081,2013-10-01,apartment,|Argentina|Capital Federal|Belgrano|,440000.0,150.0,17.0,3.0
52083,2013-10-01,apartment,|Argentina|Capital Federal|,164000.0,86.0,7.0,3.0
52108,2013-10-01,apartment,|Argentina|Capital Federal|Congreso|,198244.0,44.0,,2.0
52109,2013-10-01,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|San José|,100000.0,264.0,,3.0
52112,2013-10-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|La Perla|,110000.0,54.0,,3.0
52114,2013-10-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|El Palomar|,220000.0,212.0,,4.0
52115,2013-10-01,apartment,|Argentina|Santa Fe|Rosario|,137050.48,77.0,,
52121,2013-10-01,apartment,|Argentina|Santa Fe|Rosario|,92089.2,71.0,,
52122,2013-10-01,apartment,|Argentina|Santa Fe|Rosario|,89633.48,53.0,,
52123,2013-10-01,apartment,|Argentina|Santa Fe|Rosario|,84722.06,69.0,,
52124,2013-10-01,apartment,|Argentina|Santa Fe|Rosario|,85949.92,56.0,,
52125,2013-10-01,apartment,|Argentina|Santa Fe|Rosario|,88405.63,58.0,,
52126,2013-10-01,apartment,|Argentina|Santa Fe|Rosario|,83494.2,75.0,,
