,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
44367,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,128500.0,62.0,,3.0
44371,2013-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|Hurlingham|,105000.0,100.0,,
44372,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,54000.0,43.0,,2.0
44373,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,68058.3,37.0,,2.0
44375,2013-09-01,apartment,|Argentina|Capital Federal|Balvanera|,90000.0,66.0,,3.0
44376,2013-09-01,apartment,|Argentina|Santa Fe|Santa Fe|,277144.64,100.0,,3.0
44377,2013-09-01,apartment,|Argentina|Capital Federal|Las Cañitas|,120000.0,30.0,,3.0
44378,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,38500.0,26.0,,1.0
44379,2013-09-01,house,|Argentina|Santa Fe|Santa Fe|,152604.96,120.0,,
44380,2013-09-01,apartment,|Argentina|Capital Federal|Belgrano|,95000.0,40.0,,2.0
44381,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|San Isidro|,156749.85,58.0,,2.0
44382,2013-09-01,apartment,|Argentina|Capital Federal|Recoleta|,350000.0,139.0,,5.0
44383,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|San Isidro|,158225.03,58.0,,2.0
44384,2013-09-01,PH,|Argentina|Capital Federal|Floresta|,130000.0,76.0,,
44385,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,96200.0,53.0,,3.0
44386,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|San Isidro|,149175.2,58.0,,2.0
44387,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,110000.0,55.0,,1.0
44388,2013-09-01,apartment,|Argentina|Capital Federal|Palermo|Palermo Chico|,1100000.0,435.0,,5.0
44389,2013-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|San Isidro|,105700.0,61.0,,2.0
44391,2013-09-01,apartment,|Argentina|Capital Federal|Recoleta|,540000.0,263.0,,5.0
44392,2013-09-01,apartment,|Argentina|Capital Federal|Nuñez|,178000.0,47.0,,3.0
44398,2013-09-01,apartment,|Argentina|Capital Federal|Recoleta|,84000.0,32.0,,2.0
44399,2013-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,300000.0,173.0,,
44400,2013-09-01,apartment,|Argentina|Capital Federal|Caballito|,98000.0,40.0,,2.0
44401,2013-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,75000.0,80.0,,
44402,2013-09-01,apartment,|Argentina|Capital Federal|Parque Centenario|,115000.0,50.0,,2.0
44404,2013-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|Crucecita|,78000.0,57.0,,
