,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
20064,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,43000.0,30.0,,1.0
20066,2016-09-01,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,450000.0,348.0,,
20068,2016-09-01,apartment,|Argentina|Buenos Aires Interior|Bahía Blanca|,75588.17,49.0,,
20070,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,57900.0,28.0,,1.0
20071,2016-09-01,apartment,|Argentina|Córdoba|Córdoba|,39053.88,45.0,,2.0
20072,2016-09-01,house,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,595000.0,955.0,,5.0
20075,2016-09-01,house,|Argentina|Córdoba|La Cumbre|,210000.0,8000.0,,8.0
20076,2016-09-01,house,|Argentina|Santa Fe|Roldán|,125000.0,410.0,,4.0
20077,2016-09-01,house,|Argentina|Santa Fe|Oliveros|,94485.21,663.0,,4.0
20078,2016-09-01,apartment,|Argentina|Córdoba|Córdoba|,200000.0,180.0,,9.0
20079,2016-09-01,apartment,|Argentina|Córdoba|Córdoba|,155000.0,330.0,,9.0
20081,2016-09-01,apartment,|Argentina|Santiago Del Estero|,90000.0,52.0,,1.0
20082,2016-09-01,house,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,2400000.0,0.0,,7.0
20083,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Don Torcuato|,100000.0,0.0,,4.0
20084,2016-09-01,apartment,|Argentina|Capital Federal|Balvanera|,350000.0,297.0,,4.0
20085,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Centro|,57000.0,40.0,,2.0
20086,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Plaza Mitre|,65000.0,40.0,,2.0
20087,2016-09-01,PH,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,48000.0,38.0,,2.0
20088,2016-09-01,house,|Argentina|Entre Ríos|Colón|,132279.29,0.0,,
20089,2016-09-01,apartment,|Argentina|Capital Federal|Barrio Norte|,349000.0,98.0,,3.0
20092,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,190000.0,180.0,,4.0
20093,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,65000.0,45.0,,3.0
20094,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,54000.0,37.0,,2.0
20096,2016-09-01,apartment,|Argentina|Capital Federal|Caballito|,155000.0,55.0,,2.0
20097,2016-09-01,apartment,|Argentina|Capital Federal|Flores|,155000.0,55.0,,2.0
20099,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Garín|,100000.0,400.0,,
20101,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Francisco Alvarez|,90000.0,760.0,,
20102,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|San Antonio De Padua|,140000.0,261.0,,
20104,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Virrey del Pino|,28180.48,107.0,,
20105,2016-09-01,apartment,|Argentina|Capital Federal|San Nicolás|,78000.0,36.0,,
20106,2016-09-01,apartment,|Argentina|Santa Fe|Rosario|,110000.0,53.0,,
20108,2016-09-01,apartment,|Argentina|Capital Federal|Monte Castro|,77500.0,36.0,,
20109,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|,270000.0,200.0,,
20110,2016-09-01,apartment,|Argentina|Capital Federal|Caballito|,175000.0,85.0,,
20111,2016-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Este|,65000.0,75.0,,
20112,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Virrey del Pino|,28180.48,1197.0,,
20113,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Martín Coronado|,200000.0,300.0,,
20116,2016-09-01,apartment,|Argentina|Capital Federal|Caballito|,175000.0,82.0,,3.0
20117,2016-09-01,apartment,|Argentina|Capital Federal|Caballito|,156000.0,86.0,,3.0
20118,2016-09-01,apartment,|Argentina|Capital Federal|Caballito|,235000.0,90.0,,3.0
20119,2016-09-01,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,60000.0,130.0,,4.0
20120,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,62900.0,40.0,,2.0
20121,2016-09-01,PH,|Argentina|Capital Federal|Floresta|,195000.0,209.0,,4.0
20122,2016-09-01,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,240000.0,449.0,,3.0
20133,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,220000.0,107.0,1.0,4.0
20134,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,110000.0,51.0,1.0,2.0
20135,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,110000.0,51.0,2.0,2.0
20138,2016-09-01,apartment,|Argentina|Capital Federal|Almagro|,99000.0,63.0,,
20139,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,155000.0,90.0,,4.0
20142,2016-09-01,house,|Argentina|Buenos Aires Interior|Coronel Suárez|Coronel Suárez|,73000.0,126.0,,
20143,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,108000.0,45.0,1.0,2.0
20144,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,120000.0,45.0,,2.0
20146,2016-09-01,store,|Argentina|Capital Federal|Belgrano|,585000.0,212.0,,
20147,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,240000.0,0.0,,2.0
20148,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Chauvín|,115000.0,48.0,,2.0
20149,2016-09-01,apartment,|Argentina|Capital Federal|Villa Devoto|,220000.0,105.0,,4.0
20150,2016-09-01,house,|Argentina|Capital Federal|Liniers|,280000.0,385.0,,4.0
20151,2016-09-01,apartment,|Argentina|Capital Federal|Villa del Parque|,85000.0,47.0,,1.0
20152,2016-09-01,apartment,|Argentina|Capital Federal|Villa del Parque|,95000.0,47.0,,1.0
20153,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Aeropuerto Internacional Ezeiza|,240000.0,80.0,,3.0
20156,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,79000.0,47.0,1.0,1.0
20158,2016-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Florida|,135000.0,84.0,,2.0
20159,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,150000.0,200.0,,
20160,2016-09-01,house,|Argentina|Buenos Aires Interior|Lobos|Lobos|,200000.0,193.0,,4.0
20161,2016-09-01,apartment,|Argentina|Capital Federal|Flores|,175000.0,80.0,5.0,3.0
20162,2016-09-01,apartment,|Argentina|Córdoba|,105823.43,65.0,,3.0
20163,2016-09-01,apartment,|Argentina|Córdoba|,340000.0,175.0,,3.0
20164,2016-09-01,apartment,|Argentina|Córdoba|,470000.0,190.0,,6.0
20166,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,229000.0,235.0,,
20167,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,490000.0,320.0,,
20168,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Barrio Santa Teresa|,360000.0,200.0,,
20169,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Barrio Santa Teresa|,385000.0,336.0,,
20170,2016-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|,95000.0,130.0,,
20171,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Tortuguitas|,465000.0,7300.0,,
20172,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,165000.0,160.0,,
20174,2016-09-01,apartment,|Argentina|Capital Federal|Monserrat|,250000.0,126.0,,6.0
20175,2016-09-01,apartment,|Argentina|Capital Federal|Saavedra|,149000.0,65.0,2.0,3.0
20176,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,330000.0,0.0,,5.0
20177,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,100000.0,49.0,,2.0
20178,2016-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,175000.0,0.0,,4.0
20179,2016-09-01,apartment,|Argentina|Capital Federal|Saavedra|,98000.0,45.0,5.0,1.0
20180,2016-09-01,apartment,|Argentina|Capital Federal|Saavedra|,110000.0,53.0,1.0,2.0
20181,2016-09-01,apartment,|Argentina|Capital Federal|Flores|,130000.0,62.0,,3.0
20182,2016-09-01,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Las Avenidas|,98000.0,270.0,,4.0
20183,2016-09-01,apartment,|Argentina|Capital Federal|Las Cañitas|,195000.0,58.0,,2.0
20185,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|La Reja|,75000.0,460.0,,
20186,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|La Reja|,62000.0,350.0,,
20187,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Francisco Alvarez|,100000.0,1500.0,,
20188,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|La Reja|,25000.0,420.0,,
20189,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|La Reja|,78000.0,400.0,,
20190,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Francisco Alvarez|,100000.0,1500.0,,
20191,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|General Rodríguez|General Rodríguez|,89000.0,600.0,,
20192,2016-09-01,apartment,|Argentina|Capital Federal|Palermo|Palermo Chico|,2200000.0,500.0,,5.0
20193,2016-09-01,apartment,|Argentina|Capital Federal|Belgrano|,1550000.0,270.0,,4.0
20194,2016-09-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,62900.0,37.0,,2.0
20195,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|Guernica|,240000.0,1400.0,,
20196,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Adrogué|,480000.0,749.0,,
20197,2016-09-01,apartment,|Argentina|Córdoba|,130000.0,75.0,,3.0
20198,2016-09-01,house,|Argentina|Córdoba|,360000.0,0.0,,
20199,2016-09-01,house,|Argentina|Córdoba|Mendiolaza|,142000.0,0.0,,
20200,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,445000.0,0.0,,5.0
20201,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,1100000.0,600.0,,7.0
20202,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,83000.0,48.0,,2.0
20203,2016-09-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,118000.0,135.0,,4.0
20204,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|,265000.0,160.0,,5.0
20205,2016-09-01,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Canning|,85000.0,0.0,,1.0
20206,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Solar del Bosque|,399000.0,0.0,,5.0
20207,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Remedios de Escalada|,170000.0,165.0,,5.0
20208,2016-09-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,470000.0,750.0,,
20209,2016-09-02,house,|Argentina|Capital Federal|,380000.0,600.0,,
20210,2016-09-02,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,140000.0,70.0,1.0,
20211,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,1200000.0,1380.0,,
20212,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,3100000.0,1606.0,,
20214,2016-09-02,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,560000.0,163.0,1.0,
20215,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,480000.0,435.0,,
20216,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Villa Adelina|,125000.0,107.0,,
20217,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,1450000.0,1600.0,,
20218,2016-09-02,house,|Argentina|Capital Federal|,1140000.0,3163.0,,
20219,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,120000.0,120.0,,
20220,2016-09-02,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Sáenz Peña|,70000.0,35.0,1.0,
20221,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,410000.0,962.0,,
20222,2016-09-02,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Rincón de Milberg|,125000.0,82.0,,
20223,2016-09-02,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Rincón de Milberg|,125000.0,82.0,,
20224,2016-09-02,apartment,|Argentina|Capital Federal|Belgrano|,180000.0,70.0,1.0,
20225,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,760000.0,784.0,,
20226,2016-09-02,house,|Argentina|Capital Federal|,495000.0,580.0,,
20229,2016-09-02,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|San Antonio De Padua|,140000.0,261.0,,
20230,2016-09-02,house,|Argentina|Santa Fe|Rosario|,120000.0,290.0,,
20236,2016-09-02,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,44000.0,25.0,,
20242,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,130000.0,218.0,,2.0
20267,2016-09-02,store,|Argentina|Capital Federal|Belgrano|,750000.0,80.0,,1.0
20268,2016-09-02,store,|Argentina|Capital Federal|San Cristobal|,79000.0,45.0,,2.0
20270,2016-09-02,house,|Argentina|Misiones|Posadas|,81887.18,400.0,,7.0
20271,2016-09-02,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,135000.0,120.0,,3.0
20276,2016-09-02,PH,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,75000.0,45.0,,2.0
20280,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,88900.0,48.0,,2.0
20282,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,83900.0,43.0,,2.0
20283,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,119800.0,43.0,,2.0
20284,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,61800.0,25.0,,1.0
20288,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,80000.0,58.0,,3.0
20293,2016-09-02,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,215000.0,330.0,,4.0
20295,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,65000.0,30.0,,1.0
20299,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,78000.0,60.0,,3.0
20300,2016-09-02,house,|Argentina|Buenos Aires Interior|Bahía Blanca|,300000.0,375.0,,
20302,2016-09-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,143500.0,60.0,,2.0
20303,2016-09-02,house,|Argentina|Córdoba|Córdoba|,138578.31,380.0,,4.0
20304,2016-09-02,house,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,260000.0,850.0,,5.0
20305,2016-09-02,apartment,|Argentina|Santa Fe|Rosario|,147396.93,57.0,,
20306,2016-09-02,apartment,|Argentina|Santa Fe|Rosario|,233945.38,93.0,,3.0
20309,2016-09-02,apartment,|Argentina|Santa Fe|Rosario|,90705.8,40.0,,1.0
20310,2016-09-02,house,|Argentina|Santa Fe|Funes|,165000.0,593.0,,5.0
20312,2016-09-02,apartment,|Argentina|Córdoba|Córdoba|,87556.29,62.0,,4.0
20313,2016-09-02,house,|Argentina|Córdoba|Córdoba|,75000.0,300.0,,6.0
