,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
61906,2014-12-01,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|San Antonio De Padua|,250000.0,385.0,,
61907,2014-12-01,house,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|,150000.0,200.0,,4.0
61909,2014-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,135000.0,93.0,4.0,3.0
61910,2014-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|San Fernando|,72000.0,76.0,5.0,1.0
61911,2014-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,190000.0,150.0,,4.0
61912,2014-12-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,120000.0,50.0,2.0,2.0
61913,2014-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,135000.0,106.0,,
61914,2014-12-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,158500.0,168.0,,
61916,2014-12-01,apartment,|Argentina|Capital Federal|Recoleta|,290000.0,108.0,7.0,3.0
61917,2014-12-01,store,|Argentina|Buenos Aires Costa Atlántica|San Bernardo|,42000.0,35.0,,
61918,2014-12-01,apartment,|Argentina|Capital Federal|Congreso|,72000.0,37.0,3.0,2.0
61919,2014-12-01,apartment,|Argentina|Capital Federal|Tribunales|,155000.0,113.0,9.0,3.0
61920,2014-12-01,apartment,|Argentina|Capital Federal|Parque Chacabuco|,280000.0,254.0,,7.0
61921,2014-12-01,store,|Argentina|Buenos Aires Costa Atlántica|Mar de Ajó|,111111.0,195.0,,
61922,2014-12-01,store,|Argentina|Buenos Aires Costa Atlántica|San Bernardo|,111111.0,780.0,,
61923,2014-12-01,apartment,|Argentina|Capital Federal|Abasto|,79000.0,46.0,4.0,2.0
61924,2014-12-01,apartment,|Argentina|Capital Federal|Balvanera|,79000.0,46.0,4.0,2.0
61925,2014-12-01,apartment,|Argentina|Capital Federal|Recoleta|,131760.0,40.0,6.0,1.0
61926,2014-12-01,store,|Argentina|Capital Federal|Centro / Microcentro|,17557.82,120.0,,
