,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
31016,2017-01-01,house,|Argentina|Buenos Aires Interior|General Paz|Villanueva|,320000.0,0.0,,5.0
31017,2017-01-01,apartment,|Argentina|Capital Federal|Flores|,170000.0,100.0,,
31018,2017-01-01,house,|Argentina|Capital Federal|Colegiales|,320000.0,133.0,,
31019,2017-01-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|La Perla|,87000.0,60.0,,
31020,2017-01-01,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|La Perla|,47000.0,34.0,,
31021,2017-01-01,PH,|Argentina|Capital Federal|Colegiales|,379000.0,225.0,,
31022,2017-01-01,house,|Argentina|Capital Federal|Colegiales|,490000.0,220.0,,
31023,2017-01-01,apartment,|Argentina|Capital Federal|Colegiales|,187000.0,98.0,,3.0
31024,2017-01-02,house,|Argentina|Córdoba|Punilla|,112721.92,590.0,,
31025,2017-01-02,house,|Argentina|Córdoba|Punilla|,50000.0,248.0,,
31026,2017-01-02,apartment,|Argentina|Capital Federal|Recoleta|,295000.0,95.0,,
31028,2017-01-02,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,170000.0,70.0,,
31029,2017-01-02,store,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,75000.0,70.0,,
31030,2017-01-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,340000.0,170.0,,4.0
31032,2017-01-02,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,69000.0,35.0,,2.0
31045,2017-01-02,apartment,|Argentina|Capital Federal|Belgrano|,219000.0,78.0,,3.0
31046,2017-01-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,730000.0,0.0,,6.0
31047,2017-01-02,house,|Argentina|Capital Federal|Belgrano|,980000.0,530.0,,6.0
31048,2017-01-02,apartment,|Argentina|Capital Federal|Villa Urquiza|,190000.0,76.0,,3.0
31049,2017-01-02,house,|Argentina|Córdoba|La Calera|,56691.12,0.0,,
31050,2017-01-02,apartment,|Argentina|Santa Fe|Rosario|,58895.78,40.0,,2.0
31051,2017-01-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,980000.0,0.0,,7.0
31052,2017-01-02,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Rumenco|,480000.0,350.0,,6.0
31053,2017-01-02,apartment,|Argentina|Córdoba|,110232.74,62.0,,2.0
31054,2017-01-02,apartment,|Argentina|Córdoba|,230000.0,140.0,,8.0
31055,2017-01-02,PH,|Argentina|Capital Federal|Belgrano|,175000.0,86.0,,4.0
31056,2017-01-02,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,920000.0,511.0,,5.0
31058,2017-01-02,store,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,130000.0,288.0,,7.0
31059,2017-01-02,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Valentín Alsina|,50000.0,51.0,,3.0
31060,2017-01-02,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|,69000.0,0.0,,4.0
31061,2017-01-02,store,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,220000.0,188.0,,6.0
