,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
120754,2017-07-01,house,|Argentina|Capital Federal|Villa del Parque|,495000.0,395.0,,4.0
120755,2017-07-01,house,|Argentina|Salta|Coronel Moldes|,80207.66,1550.0,,3.0
120756,2017-07-01,PH,|Argentina|Capital Federal|Saavedra|,230000.0,130.0,,4.0
120757,2017-07-01,house,|Argentina|Capital Federal|Saavedra|,285000.0,226.0,,1.0
120758,2017-07-02,house,|Argentina|Buenos Aires Costa Atlántica|Costa Esmeralda|,265000.0,210.0,,6.0
120759,2017-07-02,house,|Argentina|Buenos Aires Costa Atlántica|Costa Esmeralda|,265000.0,210.0,,6.0
120760,2017-07-02,apartment,|Argentina|Capital Federal|Barracas|,135000.0,54.0,,2.0
120761,2017-07-02,apartment,|Argentina|Capital Federal|Flores|,118000.0,53.0,,1.0
120762,2017-07-02,house,|Argentina|Mendoza|Godoy Cruz|,134165.54,137.0,,5.0
120763,2017-07-02,apartment,|Argentina|Capital Federal|Caballito|,89500.0,50.0,,2.0
120764,2017-07-02,PH,|Argentina|Capital Federal|Barracas|,135000.0,120.0,,6.0
120765,2017-07-02,house,|Argentina|Entre Ríos|San Benito|,33833.05,170.0,,4.0
120766,2017-07-02,house,|Argentina|Entre Ríos|San Benito|,33833.05,170.0,,4.0
120767,2017-07-02,store,|Argentina|Buenos Aires Costa Atlántica|Villa Gesell|,680000.0,550.0,,1.0
120769,2017-07-02,apartment,|Argentina|Capital Federal|,90000.0,41.0,,1.0
120770,2017-07-03,apartment,|Argentina|Tucumán|San Miguel de Tucumán|,81665.98,61.0,,2.0
120771,2017-07-03,apartment,|Argentina|Santa Fe|Rosario|,95000.0,68.0,,6.0
120772,2017-07-03,apartment,|Argentina|Santa Fe|Rosario|,95000.0,68.0,,6.0
120773,2017-07-03,apartment,|Argentina|Capital Federal|Monserrat|,135000.0,75.0,,3.0
120774,2017-07-03,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,150000.0,120.0,,3.0
120775,2017-07-03,apartment,|Argentina|Capital Federal|Flores|,118000.0,53.0,,1.0
120776,2017-07-03,apartment,|Argentina|Capital Federal|Monserrat|,81000.0,37.0,,1.0
120777,2017-07-03,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,24499.79,420.0,,6.0
120778,2017-07-03,apartment,|Argentina|Capital Federal|Palermo|Palermo Soho|,87000.0,40.0,,2.0
120787,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,72000.0,38.0,,2.0
120788,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,365000.0,110.0,,3.0
120791,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,75900.0,40.0,,2.0
120796,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,400000.0,240.0,,
120798,2017-07-04,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,180000.0,270.0,,4.0
120802,2017-07-04,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,590000.0,980.0,,5.0
120804,2017-07-04,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,320000.0,280.0,,5.0
120806,2017-07-04,house,|Argentina|Santa Fe|Rosario|,125000.0,85.0,,
120807,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,185000.0,120.0,,4.0
120808,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,295000.0,170.0,,3.0
120809,2017-07-04,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,270000.0,444.0,,5.0
120810,2017-07-04,apartment,|Argentina|Capital Federal|Palermo|,139000.0,85.0,,
120814,2017-07-04,house,|Argentina|Córdoba|Villa Carlos Paz|,165000.0,560.0,,
120817,2017-07-04,PH,|Argentina|Capital Federal|Villa Luro|,148000.0,150.0,,
120818,2017-07-04,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,170000.0,288.0,,3.0
120819,2017-07-04,house,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,170000.0,288.0,,
120824,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,250000.0,111.0,,5.0
120825,2017-07-04,house,|Argentina|Buenos Aires Costa Atlántica|Pinamar|,79000.0,206.0,,3.0
120827,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Monte Grande|,125000.0,200.0,,
120829,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,89000.0,42.0,,2.0
120831,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|La Perla|,84000.0,43.0,,
120835,2017-07-04,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,60514.28,41.0,,
120836,2017-07-04,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,105000.0,60.0,,
120840,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,125000.0,57.0,,2.0
120841,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,75900.0,40.0,,2.0
120842,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,72000.0,51.0,,
120843,2017-07-04,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|,110000.0,185.0,,
120844,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,52000.0,28.0,,1.0
120846,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Temperley|,230000.0,227.0,,
120847,2017-07-04,store,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Centro|,160000.0,256.0,,
120849,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Temperley|,195000.0,245.0,,
120850,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|,250000.0,726.0,,
120851,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,270000.0,195.0,,4.0
120855,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,59500.0,25.0,,1.0
120856,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|,115000.0,214.0,,
120857,2017-07-04,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|,160000.0,160.0,,
120860,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,117000.0,124.0,,
120861,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,220000.0,500.0,,
120862,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,59500.0,25.0,,1.0
120863,2017-07-04,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Longchamps|,50000.0,259.0,,
120864,2017-07-04,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Monte Grande|,130000.0,70.0,,
120865,2017-07-04,apartment,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,85500.0,45.0,,2.0
120866,2017-07-04,store,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|,115000.0,81.0,,
120867,2017-07-04,apartment,|Argentina|Capital Federal|Palermo|,96200.0,37.0,,
