,created_on,property_type,place_with_parent_names,price_aprox_usd,surface_in_m2,floor,rooms
48368,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,660000.0,750.0,,
48369,2017-04-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Boulogne Sur Mer|,79000.0,120.0,,
48370,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,680000.0,1188.0,,
48371,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,105000.0,44089.0,1.0,
48372,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,390000.0,438.0,,
48374,2017-04-01,house,|Argentina|Capital Federal|,1100000.0,1252.0,,
48375,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,275000.0,90.0,4.0,
48376,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,275000.0,90.0,4.0,
48377,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,520000.0,720.0,,
48378,2017-04-01,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Boulogne Sur Mer|,105000.0,130.0,,
48379,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,293000.0,560.0,,
48380,2017-04-01,store,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,1450000.0,889.0,,
48382,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Tortuguitas|,50000.0,22.0,,
48383,2017-04-01,house,|Argentina|Capital Federal|,290000.0,229.0,,
48384,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,106000.0,59.0,3.0,
48385,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Maschwitz|,104713.34,62.0,1.0,
48386,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Maschwitz|,81811.44,47.0,1.0,
48387,2017-04-01,house,|Argentina|Capital Federal|,510000.0,1082.0,,
48388,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,980000.0,1500.0,,
48389,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Maschwitz|,88947.36,67.0,,
48390,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,560000.0,1400.0,,
48391,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,355000.0,466.0,,
48392,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Maschwitz|,141472.64,83.0,2.0,
48393,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,105000.0,45.0,1.0,
48394,2017-04-01,house,|Argentina|Capital Federal|,625000.0,1512.0,,
48395,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Maschwitz|,139190.84,89.0,1.0,
48396,2017-04-01,house,|Argentina|Capital Federal|,1300000.0,1195.0,,
48397,2017-04-01,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Maschwitz|,152063.12,96.0,,
48398,2017-04-01,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,370000.0,905.0,,
